Cebpe,Cenpa,Creb5,Dach1,Ebf1,Egr1,Ets1,Fos,Fosb,Gata1,Gata2,Gata3,Gfi1,Gfi1b,Hlf,Hmga2,Hmgb2,Hmgb3,Ikzf2,Irf7,Irf8,Klf1,Klf12,Klf2,Klf6,Mecom,Mef2c,Meis1,Myb,Myc,Mycn,Nfe2,Nfia,Nkx2-3,Pbx1,Pgr,Plek,Pou2f2,Rora,Satb1,Spi1,Tox,Tsc22d1,Zbtb20,Zfhx3,Zfp36l1,Zfp467,Zfp532,Zfp608,Zfpm1
0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.00041998961150449543,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0004336705380490642,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.002022742734031687,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001807249542949002,0.0
0.0,0.0,0.0,0.0021806477936371603,-0.0,0.0,0.0,0.0,0.0032044699276251552,0.0005941976519780387,0.00024161357656764942,0.0,0.0,0.00037185738481235187,0.0015874242844944042,0.0,0.006570081374134753,0.0015355152876237142,0.0,0.0,0.00010409258575790406,0.0,-0.0,0.0,0.00032946305320655234,0.0,0.0008823581737095847,0.0013264491582960745,0.005069242274038911,0.001985509109376237,0.0003826463373998966,0.0,0.0,0.0,0.002242673680650148,0.0,0.0,0.0008029307960332813,0.0,0.0,0.0017497650825640705,0.0,0.0009559236586430819,0.003648314696078493,0.0,0.0005293360339275743,0.0,-0.0,0.009070731376490764,0.0007495783475645439
0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0014981908576648245,0.0,-0.0,0.0,0.0,0.0,4.219931961987888e-5,0.0,0.0,0.0014089998578493655,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0038001629104667915,0.0,0.0,0.0,0.0,0.00029467673069150796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012142269597060738,0.0,0.0,0.0,0.0,0.0008602946069032197,0.0002497579327331856
0.0,0.0016054219801932938,0.0007849523610133878,0.0,0.0,0.0008550091996794053,0.0,0.0,0.00038439069431752543,0.000769178666987138,0.0,0.002443311819486569,0.0,0.0001851601711256555,0.0027016861529821218,0.0,0.003619216802820107,0.0006462154693722515,0.0,0.0,0.0005608071804890612,-0.0,0.0,0.001184621375888973,0.002403539057427847,0.00023533965556667494,0.0011022462471094278,0.004504857739136836,0.020436559820993603,0.0028741961394528476,0.000464892302837,7.779623634661045e-5,0.0008480729393658369,0.00012842286030974662,0.00010292000395694528,0.0,0.00017978440800583279,0.0020338246431785244,0.0,0.0014930015808436135,0.0,0.00035041501299134387,0.0,0.006008010417450412,0.0,0.0005303285764655177,0.003452435996110125,0.0013192401857602815,0.0039792558097900416,0.0028753351668418387
0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012343759091556078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017732407006673667
-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003614019753896726,0.0,0.003134605974931041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020205061750991002,0.010721604274177062,0.00026436590113157465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003972999209515479,0.0,0.0,0.0,0.0,0.0,0.004812354489045979,0.0,0.0006638580936303429,0.0,0.0,0.004261876759491707,0.0016783401871038016
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008302394815061304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021177093160410915,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.001788444931313457,0.0,0.0,0.015828636757759047,0.0006614844435903558,0.0,0.0,0.0,0.00026324811620295416,-0.0,0.0,0.0,0.0,8.760269103084625e-5,0.00015523276435179187,0.0004450437650767858,0.0,0.0,0.0022996221332801936,0.0,0.0,0.0,0.0,0.0024672285234085198,0.0009409621322591863
0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003751713695152554,0.0,9.252057649072887e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085002234945372,0.003692767115597701,7.467520237151859e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0001613818467962394,0.0,0.0,0.0004880016635122053,0.0,0.00016283344671990524,0.0008505060312816448,0.0,0.0,0.0,0.0,0.0025464217246635897,0.0001506391401185532
-0.0,0.0,0.0011569077122575051,0.0001392397812012905,0.0,0.0,0.0002685394184208101,0.0,0.0,0.0,0.0,0.0011072666018535453,0.0,0.0,0.00036725256310686516,0.0,0.0014180292147336383,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.00018994456727490505,0.0009728878859393553,0.015312931461631107,0.001120286834102105,0.0,9.155989492000416e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005563468762064608,0.0,0.0,0.006920052716690394,0.0,0.0,0.0,0.0,0.0007005882856659651,0.00043358812388683346
0.0,0.00017558049612914975,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0002284933563848797,0.0,0.0,0.0,0.0034752484260546813,0.0,0.0022281712042962233,0.012901955162597383,0.0,0.0,0.0,0.0010519494567422481,0.0,0.0,0.0,0.000141141705017344,6.372020311372004e-5,0.0,0.003503688022265101,0.00034683876790505067,0.0,0.0,0.0,0.00026353899809841014,0.0015791116952697942,0.0,0.0,0.0,0.0,0.0,0.0006498255108829225,0.0,0.0,0.0005974158126858878,0.0,0.0,0.0,-0.0,0.0005386542854305953,0.00021727014894245764
